Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,DateTime
Saturday,LAWRENCE EAST STATION,SRDP,0,0,N,SRT,3023,2022-01-01 15:59:00
Saturday,SPADINA BD STATION,MUIS,0,0,,BD,0,2022-01-01 02:23:00
Saturday,KENNEDY SRT STATION TO,MRO,0,0,,SRT,0,2022-01-01 22:00:00
Saturday,VAUGHAN MC STATION,MUIS,0,0,,YU,0,2022-01-01 02:28:00
Saturday,EGLINTON STATION,MUATC,0,0,S,YU,5981,2022-01-01 02:34:00
Saturday,QUEEN STATION,MUNCA,0,0,,YU,0,2022-01-01 05:40:00
Saturday,DAVISVILLE STATION,MUNCA,0,0,,YU,0,2022-01-01 06:56:00
Saturday,ST PATRICK STATION,MUNCA,0,0,,YU,0,2022-01-01 06:58:00
Saturday,PAPE STATION,MUNCA,0,0,,BD,0,2022-01-01 07:01:00
Saturday,WILSON STATION,TUATC,10,0,S,YU,5896,2022-01-01 07:43:00
Saturday,KENNEDY BD STATION,MUNCA,0,0,,BD,0,2022-01-01 07:45:00
Saturday,FINCH STATION,MUSC,0,0,N,YU,5481,2022-01-01 07:54:00
Saturday,YONGE BD STATION,MUNCA,0,0,,BD,0,2022-01-01 08:00:00
Saturday,ST ANDREW STATION,MUNCA,0,0,,YU,0,2022-01-01 08:00:00
Saturday,MAIN STREET STATION,MUNCA,0,0,,BD,0,2022-01-01 08:00:00
Saturday,HIGH PARK STATION,MUNCA,0,0,,BD,0,2022-01-01 08:00:00
Saturday,FINCH STATION,TUNOA,6,12,S,YU,0,2022-01-01 08:12:00
Saturday,GREENWOOD STATION,TUO,5,10,E,BD,5091,2022-01-01 08:28:00
Saturday,COXWELL STATION,MUSC,0,0,W,BD,5328,2022-01-01 08:36:00
Saturday,WELLESLEY STATION,SUO,0,0,,YU,0,2022-01-01 09:01:00
Saturday,SHEPPARD WEST STATION,PUOPO,0,0,S,YU,5746,2022-01-01 09:10:00
Saturday,FINCH STATION,MUSC,0,0,S,YU,5931,2022-01-01 09:12:00
Saturday,BLOOR STATION,MUIS,0,0,N,YU,0,2022-01-01 09:16:00
Saturday,VAUGHAN MC STATION,MUIRS,0,0,,YU,0,2022-01-01 09:44:00
Saturday,KENNEDY BD STATION,TUO,5,10,W,BD,5153,2022-01-01 09:45:00
Saturday,FINCH STATION,TUNOA,6,12,S,YU,0,2022-01-01 09:51:00
Saturday,UNION STATION,MUIE,0,0,,YU,0,2022-01-01 11:08:00
Saturday,ST GEORGE YUS STATION,TUO,5,10,S,YU,5936,2022-01-01 11:17:00
Saturday,DAVISVILLE STATION,SUDP,3,8,S,YU,5981,2022-01-01 12:01:00
Saturday,RUNNYMEDE STATION,SUUT,20,25,W,BD,6263,2022-01-01 12:14:00
Saturday,ROSEDALE STATION,SUUT,0,0,S,YU,5471,2022-01-01 14:14:00
Saturday,ISLINGTON STATION,MUIRS,0,0,E,BD,0,2022-01-01 17:42:00
Saturday,ST GEORGE YUS STATION,MUSAN,7,12,S,YU,5666,2022-01-01 18:12:00
Saturday,EGLINTON STATION,MUATC,3,10,S,YU,5481,2022-01-01 18:20:00
Saturday,SHERBOURNE STATION,MUDD,12,16,W,BD,5032,2022-01-01 18:50:00
Saturday,EGLINTON STATION,MUATC,3,10,S,YU,5906,2022-01-01 18:59:00
Saturday,VAUGHAN MC STATION,PUOPO,0,0,S,YU,5761,2022-01-01 19:11:00
Saturday,HIGHWAY 407 STATION,PUOPO,5,12,S,YU,5761,2022-01-01 19:13:00
Saturday,QUEEN STATION,MUATC,0,0,N,YU,6001,2022-01-01 19:22:00
Saturday,KIPLING STATION,MUD,7,14,E,BD,5201,2022-01-01 21:51:00
Saturday,BLOOR STATION,MUPR1,7,14,N,YU,6116,2022-01-01 21:55:00
Saturday,YONGE/UNIVERSITY AND B,MUO,0,0,,YU/BD,0,2022-01-01 22:00:00
Saturday,BLOOR STATION,MUIS,0,0,N,YU,0,2022-01-01 22:33:00
Saturday,QUEEN STATION,MUIRS,0,0,S,YU,5981,2022-01-01 22:39:00
Saturday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0,2022-01-01 22:43:00
Saturday,UNION STATION,MUIS,0,0,N,YU,0,2022-01-01 22:56:00
Saturday,BLOOR STATION,EUPI,4,8,S,YU,5661,2022-01-01 23:18:00
Saturday,KENNEDY BD STATION,SUDP,7,14,W,BD,5032,2022-01-01 23:37:00
Saturday,ST GEORGE BD STATION,SUDP,0,0,W,BD,5181,2022-01-01 23:45:00
Saturday,WELLESLEY STATION,MUIS,0,0,,YU,0,2022-01-01 23:46:00
Saturday,CHRISTIE STATION,TUMVS,0,0,E,BD,5045,2022-01-01 23:58:00
Saturday,DAVISVILLE STATION,MUO,0,0,,YU,0,2022-01-01 01:02:00
Saturday,WILSON STATION,MUI,0,0,S,YU,5746,2022-01-01 01:50:00
Saturday,FINCH STATION,SUDP,0,0,,YU,0,2022-01-01 01:56:00
Saturday,BESSARION STATION,MUSC,0,0,E,SHP,6141,2022-01-01 17:12:00
Sunday,MCCOWAN STATION,TRNOA,6,12,S,SRT,3018,2022-01-02 21:20:00
Sunday,ST CLAIR WEST STATION,SUAE,0,0,S,YU,0,2022-01-02 02:02:00
Sunday,KIPLING STATION,MUIS,0,0,,BD,0,2022-01-02 02:39:00
Sunday,LAWRENCE EAST STATION,TRO,6,12,N,SRT,3009,2022-01-02 21:29:00
Sunday,KENNEDY SRT STATION TO,MRO,0,0,,SRT,0,2022-01-02 22:00:00
Sunday,YORKDALE STATION,PUOPO,0,0,S,YU,5741,2022-01-02 08:10:00
Sunday,SHEPPARD WEST STATION,PUOPO,6,12,N,YU,5626,2022-01-02 08:14:00
Sunday,EGLINTON STATION,TUNOA,6,12,N,YU,5896,2022-01-02 08:59:00
Sunday,ISLINGTON STATION,PUSSW,3,8,E,BD,5211,2022-01-02 09:05:00
Sunday,BLOOR STATION,MUIS,0,0,,YU,0,2022-01-02 09:20:00
Sunday,EGLINTON STATION,EUDO,5,10,N,YU,5601,2022-01-02 09:56:00
Sunday,BATHURST STATION,SUDP,11,16,E,BD,5213,2022-01-02 10:23:00
Sunday,WARDEN STATION,PUMEL,0,0,,BD,0,2022-01-02 10:30:00
Sunday,COLLEGE STATION,SUAP,0,0,,YU,0,2022-01-02 10:56:00
Sunday,MAIN STREET STATION,TUSC,0,0,W,BD,5032,2022-01-02 10:59:00
Sunday,RUNNYMEDE STATION,SUAE,0,0,,BD,0,2022-01-02 11:01:00
Sunday,COXWELL STATION,PUMST,0,0,,BD,0,2022-01-02 11:57:00
Sunday,DUPONT STATION,PUOPO,5,10,N,YU,5706,2022-01-02 12:15:00
Sunday,UNION STATION,PUSAC,5,10,S,YU,5766,2022-01-02 12:18:00
Sunday,VAUGHAN MC STATION,MUPAA,5,10,S,YU,5936,2022-01-02 13:13:00
Sunday,VAUGHAN MC STATION,PUOPO,5,10,S,YU,5551,2022-01-02 13:34:00
Sunday,KEELE STATION,MUIS,0,0,,BD,0,2022-01-02 14:01:00
Sunday,VAUGHAN MC STATION,MUI,5,10,N,YU,5471,2022-01-02 14:59:00
